date,tk,entry,exit,pnl,reason
2019-02-11,XRP-USD,0.3001979887485504,0.30274099111557007,282.36946530086004,rebal
2019-02-11,BNB-USD,7.100500106811523,9.551809310913086,11507.683342614215,rebal
2019-02-11,BTC-USD,3459.154052734375,3648.4306640625,1823.9200340374798,rebal
2019-02-18,BNB-USD,9.551809310913086,9.634435653686523,16.37998058504969,rebal
2019-02-18,XRP-USD,0.30274099111557007,0.32156801223754883,117.75812378789077,rebal
2019-02-18,BTC-USD,3648.4306640625,3915.71435546875,138.72248487387046,rebal
2019-02-25,BNB-USD,9.634435653686523,9.842012405395508,817.9084482588872,rebal
2019-02-25,DOGE-USD,0.002114000031724572,0.00203000009059906,-1508.4338000044938,rebal
2019-02-25,XRP-USD,0.32156801223754883,0.32850998640060425,819.5253933897196,rebal
2019-03-04,BNB-USD,9.842012405395508,11.545945167541504,328.98982114548045,rebal
2019-03-04,ETH-USD,139.82286071777344,127.77412414550781,-163.74846663479994,rebal
2019-03-04,DOGE-USD,0.00203000009059906,0.001981999957934022,-44.932470347791494,rebal
2019-03-11,BNB-USD,11.545945167541504,14.514413833618164,9781.487709529853,rebal
2019-03-11,ETH-USD,127.77412414550781,133.8340301513672,1804.3671444441413,rebal
2019-03-11,BTC-USD,3761.55712890625,3905.227294921875,1453.1179472459726,rebal
2019-03-18,BNB-USD,14.514413833618164,15.682011604309082,3410.1590930751418,rebal
2019-03-18,ETH-USD,133.8340301513672,139.37460327148438,1754.967262552838,rebal
2019-03-18,BTC-USD,3905.227294921875,4032.50732421875,1381.6398006010147,rebal
2019-03-25,BNB-USD,15.682011604309082,16.841007232666016,3294.2856178079523,rebal
2019-03-25,ETH-USD,139.37460327148438,135.03102111816406,-1389.1387276979885,rebal
2019-03-25,BTC-USD,4032.50732421875,3963.070556640625,-767.5303433156483,rebal
2019-04-01,BNB-USD,16.841007232666016,17.950502395629883,2961.540215293998,rebal
2019-04-01,ETH-USD,135.03102111816406,141.830322265625,2263.5547766750774,rebal
2019-04-01,BTC-USD,3963.070556640625,4158.18310546875,2213.164429392516,rebal
2019-04-02,BTC-USD,4158.18310546875,4278.15773978857,1368.5561667593838,
2019-04-08,BNB-USD,17.950502395629883,18.11370277404785,431.2423003492864,rebal
2019-04-08,ETH-USD,141.830322265625,180.25881958007812,12851.71580669075,rebal
2019-04-15,BNB-USD,18.11370277404785,19.40242576599121,3722.120160384865,rebal
2019-04-15,BTC-USD,5289.77099609375,5067.1083984375,-2202.157871031539,rebal
2019-04-15,DOGE-USD,0.0030449999030679464,0.00279000005684793,-4381.175849508202,rebal
2019-04-22,BNB-USD,19.40242576599121,23.908109664916992,11927.58215396962,rebal
2019-04-22,DOGE-USD,0.00279000005684793,0.0027979998849332333,147.2733511172922,rebal
2019-04-22,BTC-USD,5067.1083984375,5399.365234375,3367.9175958538817,rebal
2019-04-29,BNB-USD,23.908109664916992,21.705066680908203,-5207.210903976399,rebal
2019-04-29,BTC-USD,5399.365234375,5247.3525390625,-1590.9795229004128,rebal
2019-04-29,ETH-USD,171.87466430664062,155.20199584960938,-5481.768457131301,rebal
2019-05-06,BNB-USD,21.705066680908203,22.206634521484375,1211.2683421526383,rebal
2019-05-06,BTC-USD,5247.3525390625,5746.80712890625,4989.161632724475,rebal
2019-05-06,ETH-USD,155.20199584960938,172.65321350097656,5893.865779747715,rebal
2019-05-13,BNB-USD,22.206634521484375,23.81102752685547,4078.303756745807,rebal
2019-05-13,BTC-USD,5746.80712890625,7814.9150390625,20314.125366493092,rebal
2019-05-13,ETH-USD,172.65321350097656,196.84628295898438,7909.842950399013,rebal
2019-05-20,BNB-USD,23.81102752685547,29.305387496948242,15509.95116843587,rebal
2019-05-20,BTC-USD,7814.9150390625,7978.30908203125,1405.3464995239772,rebal
2019-05-20,ETH-USD,196.84628295898438,251.86441040039062,18786.680292976842,rebal
2019-05-27,BNB-USD,29.305387496948242,33.68067932128906,11812.082541774296,rebal
2019-05-27,BTC-USD,7978.30908203125,8805.7783203125,8205.554172009726,rebal
2019-05-27,ETH-USD,251.86441040039062,272.8626403808594,6596.032705350708,rebal
2019-06-03,BNB-USD,33.68067932128906,31.391956329345703,-5979.079592812989,rebal
2019-06-03,BTC-USD,8805.7783203125,8208.9951171875,-5963.082084211504,rebal
2019-06-03,ETH-USD,272.8626403808594,252.60792541503906,-6531.3657325388485,rebal
2019-06-10,BNB-USD,31.391956329345703,32.064727783203125,1753.7227951360258,rebal
